Num fila;Num columna;Num elementos;Num iteraciones Rapido;Num iteraciones Random;Num iteraciones Lento;Tiempo(ns) Rapido;Tiempo(ns) Random;Tiempo(ns) Lento;Coste Rapido;Coste Random;Coste Lento;
1;1;1;2;2;2;2353660;714914;482444;0.0;0.0;0.0;
1;2;2;2;2;3;483686;387965;297894;0.91544855;0.91544855;0.91544855;
1;3;3;2;3;7;263990;387214;420076;0.794618;0.794618;0.794618;
2;1;2;2;2;3;153060;130277;228503;0.77717173;0.77717173;0.77717173;
2;2;4;4;2;25;597703;238141;874426;1.8576511;1.8576511;1.8576511;
2;3;6;7;5;592;1603828;1356340;4006571;5.5175853;5.5175853;5.5175853;
3;1;3;2;2;7;236037;233672;279159;1.4950736;1.4950736;1.4950736;
3;2;6;14;8;721;3913174;1321644;2796950;5.7588625;5.7588625;5.7588625;
3;3;9;49;26;222278;10522567;4236377;251693274;17.39109;17.574705;17.39109;
4;1;4;6;2;25;585008;251216;320548;4.5009494;4.5009494;4.5009494;
4;2;8;14;3;38835;2122892;899414;8464167;15.430273;15.430273;15.234478;
4;3;12;33;40;57178772;6055092;3793948;23671018495;36.89409;36.832905;35.500767;
