Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;2;161436;0.0;
1;2;2;2;72637;0.6669383;
1;3;3;2;97745;1.2268934;
1;4;4;2;156075;2.014131;
1;5;5;11;474429;4.1346974;
1;6;6;12;463248;9.187052;
1;7;7;31;786611;17.400303;
1;8;8;14;669008;16.915499;
2;1;2;2;62118;0.5781455;
2;2;4;6;317552;1.6162239;
2;3;6;17;510567;5.8132944;
2;4;8;29;902541;13.505469;
2;5;10;28;1405583;34.770714;
2;6;12;72;2355333;55.09781;
2;7;14;65;2282996;91.09168;
2;8;16;107;3868249;126.581764;
3;1;3;2;89400;1.8179307;
3;2;6;8;422561;6.770437;
3;3;9;28;1097339;18.617683;
3;4;12;69;2302222;39.07339;
3;5;15;83;3056742;85.88461;
3;6;18;188;6659058;145.50229;
3;7;21;488;17444453;238.03609;
3;8;24;177;7376847;320.703;
4;1;4;2;142249;3.9920166;
4;2;8;13;686280;12.416344;
4;3;12;35;1672389;44.511578;
4;4;16;154;5133006;95.75397;
4;5;20;155;5796423;184.13213;
4;6;24;357;14212500;279.23233;
4;7;28;763;33292221;449.2165;
4;8;32;775;37301949;645.2195;
5;1;5;2;291382;8.792778;
5;2;10;37;1607045;23.875973;
5;3;15;86;3221595;80.62656;
5;4;20;351;12501949;173.48265;
5;5;25;246;10143200;316.5343;
5;6;30;1073;50132771;496.5225;
5;7;35;1337;75432369;751.07635;
5;8;40;1764;121488245;1095.3677;
6;1;6;22;624223;9.448842;
6;2;12;42;2411720;43.434124;
6;3;18;178;6510116;143.0568;
6;4;24;351;14006349;275.19858;
6;5;30;612;28465135;505.77573;
6;6;36;1098;64214152;815.15247;
6;7;42;1470;108365721;1252.0476;
6;8;48;2211;213635885;1829.9131;
7;1;7;15;708402;15.9537525;
7;2;14;92;3350028;67.87514;
7;3;21;297;10945310;205.94911;
7;4;28;430;18993830;438.77396;
7;5;35;1065;59551478;778.2434;
7;6;42;2197;165604506;1235.5449;
7;7;49;3260;328165636;1849.8794;
7;8;56;3680;500531282;2518.386;
8;1;8;29;1168554;26.964815;
8;2;16;149;5263683;116.45034;
8;3;24;452;17629735;322.44247;
8;4;32;918;45921691;641.56165;
8;5;40;1328;90683606;1100.1827;
8;6;48;2958;284302875;1729.4038;
8;7;56;5685;761567251;2692.9365;
8;8;64;5402;996773267;3613.7935;
